State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2006,Whole Year ,Sunflower,400,73,26,7918,Sandy soil,1,85.6,30
Telangana ,ADILABAD,2006,Whole Year ,Sweet potato,200,73,26,14,Clay Soil,1,88.1,16
Telangana ,ADILABAD,2006,Whole Year ,Tobacco,500,73,26,235,Sandy clay,1,140.9,18
Telangana ,ADILABAD,2006,Whole Year ,Turmeric,500,73,26,6791,Clay soil,1,200.2,31
Telangana ,ADILABAD,2007,Kharif     ,Arhar/Tur,1000,73,26,38000, clay loams,0,103.3,30000
Telangana ,ADILABAD,2007,Kharif     ,Cotton(lint),1000,73,26,211000,Sandy Soil,1,310.8,15000
Telangana ,ADILABAD,2007,Kharif     ,Dry chillies,500,73,26,5000,Sandy soil,1,160.9,417
Telangana ,ADILABAD,2007,Kharif     ,Jowar,700,73,26,23000,Clay soil,1,121.8,53
Telangana ,ADILABAD,2007,Kharif     ,Maize,650,73,26,18000,Clay soil,1,286,2163
Telangana ,ADILABAD,2007,Kharif     ,Moong(Green Gram),1500,73,26,11000,Sandy loam,1,167.9,23
Telangana ,ADILABAD,2007,Kharif     ,Other Kharif pulses,900,73,26,2000,Sandy soil,1,179.5,18
Telangana ,ADILABAD,2007,Kharif     ,Rice,1700,73,26,40000,Clay Soil,1,213.3,200
Telangana ,ADILABAD,2007,Kharif     ,Sesamum,600,73,26,1000,Sandy loam,1,137.9,5
Telangana ,ADILABAD,2007,Kharif     ,Urad,120,73,26,17000,Sandy loam,1,58,7
Telangana ,ADILABAD,2007,Rabi       ,Bajra,400,73,26,1000,Sandy soil,1,167.9,1
Telangana ,ADILABAD,2007,Rabi       ,Gram,900,73,26,17000,Sandy soil,1,182.5,176
Telangana ,ADILABAD,2007,Rabi       ,Groundnut,500,73,26,5000,Sandy loam,1,195.7,17
Telangana ,ADILABAD,2007,Rabi       ,Horse-gram,800,73,26,1000,Sandy  soil,1,178.4,4
Telangana ,ADILABAD,2007,Rabi       ,Jowar,700,73,26,30000,Clay soil,1,121.8,72
Telangana ,ADILABAD,2007,Rabi       ,Maize,650,73,26,6000,Clay soil,1,286,2237
Telangana ,ADILABAD,2007,Rabi       ,Moong(Green Gram),1500,73,26,3000,Sandy loam,1,167.9,29
Telangana ,ADILABAD,2007,Rabi       ,Rice,1700,73,26,12000,Clay Soil,1,213.3,8749
Telangana ,ADILABAD,2007,Rabi       ,Sesamum,600,73,26,2000,Sandy loam,1,137.9,7
Telangana ,ADILABAD,2007,Rabi       ,Sunflower,400,73,26,7000,Sandy soil,1,85.6,46
Telangana ,ADILABAD,2007,Rabi       ,Urad,120,73,26,3000,Sandy loam,1,58,8
Telangana ,ADILABAD,2007,Rabi       ,Wheat,500,73,26,1000,Clay loam,1,140.1,9
Telangana ,ADILABAD,2008,Kharif     ,Arhar/Tur,1000,73,26,39533, clay loams,0,103.3,18660
Telangana ,ADILABAD,2008,Kharif     ,Castor seed,500,73,26,236,well drained soil,1,220.9,2
Telangana ,ADILABAD,2008,Kharif     ,Cotton(lint),1000,73,26,279353,Sandy Soil,1,310.8,18861
Telangana ,ADILABAD,2008,Kharif     ,Dry chillies,500,73,26,1830,Sandy soil,1,160.9,496
Telangana ,ADILABAD,2008,Kharif     ,Groundnut,500,73,26,60,Sandy loam,1,195.7,19
Telangana ,ADILABAD,2008,Kharif     ,Jowar,700,73,26,20019,Clay soil,1,121.8,97
Telangana ,ADILABAD,2008,Kharif     ,Maize,650,73,26,17574,Clay soil,1,286,2376
Telangana ,ADILABAD,2008,Kharif     ,Moong(Green Gram),1500,73,26,9091,Sandy loam,1,167.9,34
Telangana ,ADILABAD,2008,Kharif     ,Rice,1700,73,26,54506,Clay Soil,1,213.3,22548
Telangana ,ADILABAD,2008,Kharif     ,Sesamum,600,73,26,175,Sandy loam,1,137.9,8
Telangana ,ADILABAD,2008,Kharif     ,Soyabean,550,73,26,96223,loamy soil,1,364.4,5
Telangana ,ADILABAD,2008,Kharif     ,Urad,120,73,26,13833,Sandy loam,1,58,9
Telangana ,ADILABAD,2008,Rabi       ,Arhar/Tur,1000,73,26,1539, clay loams,1,103.3,726
Telangana ,ADILABAD,2008,Rabi       ,Bajra,400,73,26,350,Sandy soil,1,167.9,1
Telangana ,ADILABAD,2008,Rabi       ,Dry chillies,500,73,26,350,Sandy soil,1,160.9,592
Telangana ,ADILABAD,2008,Rabi       ,Gram,900,73,26,23664,Sandy soil,1,182.5,209
Telangana ,ADILABAD,2008,Rabi       ,Groundnut,500,73,26,5897,Sandy loam,1,195.7,22
Telangana ,ADILABAD,2008,Rabi       ,Horse-gram,800,73,26,1166,Sandy  soil,1,178.4,4
Telangana ,ADILABAD,2008,Rabi       ,Jowar,700,73,26,24949,Clay soil,1,121.8,109
Telangana ,ADILABAD,2008,Rabi       ,Maize,650,73,26,15049,Clay soil,1,286,2712
Telangana ,ADILABAD,2008,Rabi       ,Moong(Green Gram),1500,73,26,2097,Sandy loam,1,167.9,46
Telangana ,ADILABAD,2008,Rabi       ,Onion,400,73,26,1002,Sandy loam,1,409.1,45
Telangana ,ADILABAD,2008,Rabi       ,Rice,1700,73,26,22788,Clay Soil,1,213.3,22586
Telangana ,ADILABAD,2008,Rabi       ,Sesamum,600,73,26,7381,Sandy loam,1,137.9,8
Telangana ,ADILABAD,2008,Rabi       ,Urad,120,73,26,1344,Sandy loam,1,58,10
Telangana ,ADILABAD,2008,Rabi       ,Wheat,500,73,26,7180,Clay loam,1,140.1,16
Telangana ,ADILABAD,2008,Whole Year ,Coriander,400,73,26,941,well drained soil,1,261.3,4
Telangana ,ADILABAD,2008,Whole Year ,Sugarcane,2000,73,26,40,Sandy loam,1,144.3,440
Telangana ,ADILABAD,2008,Whole Year ,Sunflower,400,73,26,7033,Sandy soil,1,85.6,80
Telangana ,ADILABAD,2008,Whole Year ,Turmeric,500,73,26,5096,Clay soil,1,200.2,51
Telangana ,ADILABAD,2009,Kharif     ,Arhar/Tur,1000,73,26,44943, clay loams,0,103.3,25303
Telangana ,ADILABAD,2009,Kharif     ,Castor seed,500,73,26,152,well drained soil,1,220.9,3
Telangana ,ADILABAD,2009,Kharif     ,Cotton(lint),1000,73,26,280536,Sandy Soil,1,310.8,22099
Telangana ,ADILABAD,2009,Kharif     ,Dry chillies,500,73,26,4500,Sandy soil,1,160.9,613
